GRA,Family
0.00016103059581320446,Alloherpesviridae [548682]
0.00434782608695652,Polyomaviridae [151341]
0.006119162640901768,Parvoviridae [10780]
0.0003220611916264089,Herpesviridae [10292]
0.00048309178743961335,Mimiviridae [549779]
0.0028118378412786468,Podoviridae [10744]
0.00016103059581320446,Rhabdoviridae [11270]
0.007921155141254117,Myoviridae [10662]
0.32061191626409,Anelloviridae [687329]
0.00016103059581320446,Hepadnaviridae [10404]
0.0006441223832528178,Inoviridae [10860]
0.0006441223832528178,Flaviviridae [11050]
0.00016103059581320443,Geminiviridae [10811]
0.00211704300428354,N/A [N/A]
0.005152979066022543,Baculoviridae [10442]
0.0009661835748792268,Phycodnaviridae [10501]
0.5502739575719594,Siphoviridae [10699]
0.043478260869565195,Adenoviridae [10508]
0.05314009661835747,Retroviridae [11632]
0.0003220611916264089,Poxviridae [10240]
